Time_abs/ps, Signal/nA, Ref.signal/nA
   938.300,    -1.687571,    -1.907994
   938.350,    -1.467089,    -1.703816
   938.400,    -1.129745,    -1.260216
   938.450,    -0.803912,    -0.794477
   938.500,    -0.583616,    -0.451567
   938.550,    -0.436868,    -0.224389
   938.600,    -0.285178,    -0.040563
   938.650,    -0.111962,     0.195939
   938.700,     0.017344,     0.354333
   938.750,     0.007453,     0.341759
   938.800,    -0.192285,     0.123082
   938.850,    -0.583118,    -0.418836
   938.900,    -1.105404,    -1.148776
   938.950,    -1.615912,    -1.891406
   939.000,    -1.927093,    -2.364625
   939.050,    -1.902242,    -2.429335
   939.100,    -1.575866,    -1.918038
   939.150,    -1.142331,    -1.254146
   939.200,    -0.805418,    -0.680082
   939.250,    -0.687186,    -0.320957
   939.300,    -0.779465,    -0.345737
   939.350,    -0.986014,    -0.463985
   939.400,    -1.209395,    -0.668337
   939.450,    -1.415513,    -0.930346
   939.500,    -1.648436,    -1.344171
   939.550,    -1.947862,    -1.750694
   939.600,    -2.282392,    -2.226514
   939.650,    -2.548074,    -2.581341
   939.700,    -2.636179,    -2.756522
   939.750,    -2.551857,    -2.668799
   939.800,    -2.400485,    -2.535564
   939.850,    -2.301106,    -2.366411
   939.900,    -2.338394,    -2.394906
   939.950,    -2.486906,    -2.553779
   940.000,    -2.668581,    -2.809320
   940.050,    -2.791969,    -2.975376
   940.100,    -2.812496,    -3.042711
   940.150,    -2.759864,    -2.861145
   940.200,    -2.699984,    -2.769576
   940.250,    -2.682986,    -2.615708
   940.300,    -2.700959,    -2.583290
   940.350,    -2.690301,    -2.526615
   940.400,    -2.624204,    -2.363788
   940.450,    -2.517627,    -2.233917
   940.500,    -2.453725,    -2.045937
   940.550,    -2.520608,    -2.121474
   940.600,    -2.761025,    -2.478730
   940.650,    -3.120103,    -2.997075
   940.700,    -3.447405,    -3.561720
   940.750,    -3.610895,    -3.902849
   940.800,    -3.583513,    -3.976945
   940.850,    -3.432932,    -3.796989
   940.900,    -3.210369,    -3.505076
   940.950,    -2.913940,    -3.140688
   941.000,    -2.539545,    -2.631673
   941.050,    -2.167816,    -2.125007
   941.100,    -1.919156,    -1.834913
   941.150,    -1.831038,    -1.704935
   941.200,    -1.830679,    -1.724181
   941.250,    -1.812729,    -1.715476
   941.300,    -1.758305,    -1.740541
   941.350,    -1.724427,    -1.693276
   941.400,    -1.755686,    -1.764439
   941.450,    -1.821273,    -1.832320
   941.500,    -1.878054,    -1.921461
   941.550,    -1.927866,    -2.069153
   941.600,    -1.975663,    -2.159015
   941.650,    -1.994669,    -2.238448
   941.700,    -1.914079,    -2.256824
   941.750,    -1.694649,    -2.025012
   941.800,    -1.381678,    -1.640683
   941.850,    -1.051036,    -1.272411
   941.900,    -0.768864,    -0.923611
   941.950,    -0.529503,    -0.629889
   942.000,    -0.290984,    -0.307734
   942.050,    -0.018344,     0.007282
   942.100,     0.266281,     0.350234
   942.150,     0.499214,     0.615848
   942.200,     0.625859,     0.725047
   942.250,     0.641242,     0.739218
   942.300,     0.560844,     0.634808
   942.350,     0.401334,     0.353073
   942.400,     0.174109,     0.115253
   942.450,    -0.091879,    -0.310768
   942.500,    -0.353675,    -0.621102
   942.550,    -0.555630,    -0.813328
   942.600,    -0.667012,    -0.863950
   942.650,    -0.714276,    -0.806086
   942.700,    -0.765142,    -0.710591
   942.750,    -0.880814,    -0.660582
   942.800,    -1.105914,    -0.766495
   942.850,    -1.473766,    -1.130814
   942.900,    -1.965235,    -1.593612
   942.950,    -2.524989,    -2.226521
   943.000,    -3.062137,    -2.884514
   943.050,    -3.476172,    -3.423139
   943.100,    -3.712513,    -3.742344
   943.150,    -3.737878,    -3.751548
   943.200,    -3.595104,    -3.601295
   943.250,    -3.366907,    -3.374849
   943.300,    -3.124107,    -3.080232
   943.350,    -2.847047,    -2.885806
   943.400,    -2.470897,    -2.591251
   943.450,    -1.933935,    -2.091790
   943.500,    -1.262407,    -1.418958
   943.550,    -0.526499,    -0.740128
   943.600,     0.216030,    -0.012877
   943.650,     0.981474,     0.744658
   943.700,     1.767261,     1.536335
   943.750,     2.526711,     2.327772
   943.800,     3.169526,     3.018022
   943.850,     3.630581,     3.537087
   943.900,     3.896547,     3.857086
   943.950,     4.026925,     3.986273
   944.000,     4.067082,     4.051311
   944.050,     3.999014,     4.078628
   944.100,     3.769836,     3.952638
   944.150,     3.295956,     3.564746
   944.200,     2.544637,     2.844586
   944.250,     1.590618,     1.898545
   944.300,     0.591182,     0.817742
   944.350,    -0.325703,    -0.108266
   944.400,    -1.127510,    -0.900255
   944.450,    -1.852374,    -1.605140
   944.500,    -2.530484,    -2.301188
   944.550,    -3.147608,    -2.942852
   944.600,    -3.646544,    -3.460071
   944.650,    -3.950815,    -3.886191
   944.700,    -3.986412,    -4.017981
   944.750,    -3.693849,    -3.780757
   944.800,    -3.085547,    -3.257952
   944.850,    -2.237201,    -2.413267
   944.900,    -1.283077,    -1.446880
   944.950,    -0.333232,    -0.477604
   945.000,     0.560204,     0.370020
   945.050,     1.380308,     1.203016
   945.100,     2.057948,     1.912146
   945.150,     2.477526,     2.410647
   945.200,     2.532483,     2.509044
   945.250,     2.190475,     2.165472
   945.300,     1.556404,     1.515970
   945.350,     0.805869,     0.763485
   945.400,     0.100735,     0.055459
   945.450,    -0.464560,    -0.430196
   945.500,    -0.882610,    -0.775324
   945.550,    -1.155415,    -1.049376
   945.600,    -1.248409,    -1.065892
   945.650,    -1.135119,    -0.990877
   945.700,    -0.812937,    -0.694640
   945.750,    -0.305259,    -0.311914
   945.800,     0.334246,     0.235035
   945.850,     1.049173,     0.801124
   945.900,     1.758761,     1.486974
   945.950,     2.370610,     2.164882
   946.000,     2.759585,     2.600854
   946.050,     2.840562,     2.770632
   946.100,     2.579122,     2.616703
   946.150,     2.022358,     2.129081
   946.200,     1.262812,     1.531048
   946.250,     0.398638,     0.693373
   946.300,    -0.525359,    -0.183386
   946.350,    -1.455801,    -1.135673
   946.400,    -2.338378,    -2.059582
   946.450,    -3.080441,    -2.969135
   946.500,    -3.611120,    -3.606789
   946.550,    -3.925193,    -3.999192
   946.600,    -4.071897,    -4.243458
   946.650,    -4.088622,    -4.188602
   946.700,    -3.971341,    -3.983721
   946.750,    -3.718870,    -3.676945
   946.800,    -3.370069,    -3.246177
   946.850,    -2.977992,    -2.766290
   946.900,    -2.527605,    -2.382637
   946.950,    -1.902342,    -1.862190
   947.000,    -0.972683,    -1.129184
   947.050,     0.269712,    -0.082726
   947.100,     1.694665,     1.280845
   947.150,     3.071971,     2.590244
   947.200,     4.215657,     3.756960
   947.250,     5.013109,     4.701562
   947.300,     5.310178,     5.137979
   947.350,     4.947831,     5.037292
   947.400,     3.824014,     4.178985
   947.450,     1.982405,     2.545627
   947.500,    -0.322331,     0.287690
   947.550,    -2.738028,    -1.996355
   947.600,    -4.904171,    -4.220929
   947.650,    -6.481630,    -5.884802
   947.700,    -7.223182,    -6.769679
   947.750,    -7.009185,    -6.786875
   947.800,    -5.915091,    -5.904893
   947.850,    -4.196403,    -4.306070
   947.900,    -2.217569,    -2.509411
   947.950,    -0.339904,    -0.733805
   948.000,     1.143097,     0.680577
   948.050,     2.039862,     1.595374
   948.100,     2.258727,     1.982515
   948.150,     1.815249,     1.682417
   948.200,     0.818183,     0.816673
   948.250,    -0.471630,    -0.316132
   948.300,    -1.756261,    -1.513400
   948.350,    -2.742493,    -2.514472
   948.400,    -3.268311,    -2.995165
   948.450,    -3.321202,    -3.048728
   948.500,    -3.028476,    -2.738449
   948.550,    -2.549055,    -2.297687
   948.600,    -2.044102,    -1.824931
   948.650,    -1.582174,    -1.497053
   948.700,    -1.222647,    -1.238230
   948.750,    -1.007928,    -1.042874
   948.800,    -0.945547,    -0.990671
   948.850,    -1.059614,    -1.084979
   948.900,    -1.310679,    -1.342741
   948.950,    -1.646921,    -1.667995
   949.000,    -1.998667,    -1.983582
   949.050,    -2.275241,    -2.323033
   949.100,    -2.378431,    -2.411320
   949.150,    -2.259494,    -2.340568
   949.200,    -1.941884,    -1.997869
   949.250,    -1.539303,    -1.553748
   949.300,    -1.190875,    -1.233024
   949.350,    -0.982388,    -0.960972
   949.400,    -0.920487,    -0.913138
   949.450,    -0.985290,    -0.893549
   949.500,    -1.149421,    -1.011070
   949.550,    -1.410986,    -1.232049
   949.600,    -1.726932,    -1.553018
   949.650,    -2.021155,    -1.808175
   949.700,    -2.205079,    -2.017608
   949.750,    -2.220860,    -2.098478
   949.800,    -2.068921,    -1.969690
   949.850,    -1.789928,    -1.770477
   949.900,    -1.432877,    -1.490634
   949.950,    -1.012388,    -1.180817
   950.000,    -0.524333,    -0.744993
   950.050,     0.054122,    -0.189413
   950.100,     0.668774,     0.410898
   950.150,     1.220101,     0.964924
   950.200,     1.594075,     1.396786
   950.250,     1.727839,     1.523449
   950.300,     1.650589,     1.502229
   950.350,     1.402361,     1.346021
   950.400,     1.009586,     1.068985
   950.450,     0.471116,     0.664793
   950.500,    -0.192888,     0.075602
   950.550,    -0.900884,    -0.530713
   950.600,    -1.544154,    -1.174603
   950.650,    -2.024828,    -1.700264
   950.700,    -2.250861,    -2.117365
   950.750,    -2.164629,    -2.194310
   950.800,    -1.718809,    -1.942444
   950.850,    -0.951211,    -1.284035
   950.900,     0.010370,    -0.426795
   950.950,     0.966696,     0.570829
   951.000,     1.721542,     1.423652
   951.050,     2.138918,     1.926107
   951.100,     2.173860,     2.153232
   951.150,     1.864244,     1.935857
   951.200,     1.289241,     1.487759
   951.250,     0.589672,     0.879669
   951.300,    -0.077530,     0.191365
   951.350,    -0.580785,    -0.286730
   951.400,    -0.857439,    -0.550266
   951.450,    -0.922828,    -0.682080
   951.500,    -0.827451,    -0.626306
   951.550,    -0.661763,    -0.517180
   951.600,    -0.480771,    -0.435359
   951.650,    -0.337594,    -0.332495
   951.700,    -0.307650,    -0.338241
   951.750,    -0.427837,    -0.510123
   951.800,    -0.729801,    -0.785960
   951.850,    -1.163269,    -1.183309
   951.900,    -1.638211,    -1.609508
   951.950,    -2.053798,    -1.971421
   952.000,    -2.361924,    -2.136094
   952.050,    -2.589824,    -2.326149
   952.100,    -2.795343,    -2.470579
   952.150,    -2.993869,    -2.715593
   952.200,    -3.133480,    -2.956958
   952.250,    -3.149987,    -3.018209
   952.300,    -3.039315,    -2.934306
   952.350,    -2.898475,    -2.767107
   952.400,    -2.820878,    -2.676396
   952.450,    -2.872458,    -2.688401
   952.500,    -3.044411,    -2.789970
   952.550,    -3.316969,    -3.057600
   952.600,    -3.653056,    -3.447622
   952.650,    -3.992731,    -3.799073
   952.700,    -4.240784,    -4.156099
   952.750,    -4.324895,    -4.339450
   952.800,    -4.252113,    -4.335151
   952.850,    -4.068117,    -4.229004
   952.900,    -3.815956,    -3.962539
   952.950,    -3.483596,    -3.620305
   953.000,    -3.060275,    -3.088143
   953.050,    -2.605553,    -2.509698
   953.100,    -2.239926,    -2.009179
   953.150,    -2.090548,    -1.764924
   953.200,    -2.190098,    -1.819326
   953.250,    -2.486646,    -2.107797
   953.300,    -2.877326,    -2.554044
   953.350,    -3.297402,    -3.025270
   953.400,    -3.729239,    -3.535407
   953.450,    -4.146439,    -4.008499
   953.500,    -4.477546,    -4.539520
   953.550,    -4.631665,    -4.722316
   953.600,    -4.529611,    -4.663436
   953.650,    -4.178138,    -4.291977
   953.700,    -3.662663,    -3.728231
   953.750,    -3.075897,    -3.026841
   953.800,    -2.505693,    -2.405625
   953.850,    -2.016827,    -1.885342
   953.900,    -1.654641,    -1.486639
   953.950,    -1.457431,    -1.280313
   954.000,    -1.423591,    -1.213540
   954.050,    -1.513659,    -1.309602
   954.100,    -1.679895,    -1.437720
   954.150,    -1.865182,    -1.624997
   954.200,    -2.057647,    -1.837711
   954.250,    -2.268812,    -2.037213
   954.300,    -2.521277,    -2.294601
   954.350,    -2.811512,    -2.712233
   954.400,    -3.084617,    -3.082438
   954.450,    -3.266182,    -3.422204
   954.500,    -3.286682,    -3.555938
   954.550,    -3.114267,    -3.353336
   954.600,    -2.769820,    -2.996158
   954.650,    -2.330508,    -2.408343
   954.700,    -1.896019,    -1.888258
   954.750,    -1.567322,    -1.401864
   954.800,    -1.373469,    -1.149101
   954.850,    -1.276210,    -0.895627
   954.900,    -1.218585,    -0.832206
   954.950,    -1.191022,    -0.790845
   955.000,    -1.204183,    -0.806229
