solution: [325. 650. 125.], best minimum: [324.27 650.38 126.32], log(fx)=0.0027778943052318913, p[1] estimate: 598.03
truth: [450. 700. 400.], found: [450. 700. 400.], log(fx)=-inf, p0: [450, 700, 400], success?: True
truth: [176. 581. 156.], found: [177.02 580.89 156.05], log(fx)=-7.537, p0: [150, 600, 250], success?: True
truth: [ 93. 747. 301.], found: [ 93.19 746.86 300.62], log(fx)=-9.893, p0: [100, 750, 300], success?: True
truth: [191. 427. 300.], found: [192.32 425.63 302.95], log(fx)=-5.515, p0: [150, 550, 250], success?: True
truth: [289. 436.  72.], found: [289.39 435.83  72.02], log(fx)=-8.733, p0: [250, 450, 100], success?: True
truth: [144. 494. 359.], found: [143.96 493.77 359.24], log(fx)=-8.286, p0: [150, 500, 350], success?: True
truth: [ 67. 541. 237.], found: [ 66.14 541.92 236.36], log(fx)=-7.9, p0: [50, 800, 350], success?: True
truth: [357. 745. 361.], found: [353.66 746.32 359.82], log(fx)=-5.787, p0: [350, 750, 450], success?: True
truth: [140. 704. 226.], found: [139.95 703.86 225.9 ], log(fx)=-9.239, p0: [150, 700, 200], success?: True
truth: [136. 648. 106.], found: [135.8  647.94 106.41], log(fx)=-8.77, p0: [150, 650, 100], success?: True
truth: [ 85. 575. 165.], found: [ 85.04 575.19 165.36], log(fx)=-7.822, p0: [100, 650, 150], success?: True
truth: [159. 619. 436.], found: [158.78 618.78 436.15], log(fx)=-8.129, p0: [150, 650, 450], success?: True
truth: [326. 657. 340.], found: [325.57 656.85 340.73], log(fx)=-8.941, p0: [450, 550, 300], success?: True
truth: [425. 418.  50.], found: [425.43 417.71  50.84], log(fx)=-7.86, p0: [450, 550, 50], success?: True
truth: [188. 671. 175.], found: [188.18 671.02 174.69], log(fx)=-9.893, p0: [200, 700, 200], success?: True
truth: [363. 642.  94.], found: [362.75 642.33  93.67], log(fx)=-9.037, p0: [400, 550, 100], success?: True


truth: [325. 650. 125.], found: [325.25 650.12 124.47], log(fx)=-8.671, p0: [350, 550, 150], success?: True
truth: [225. 650. 125.], found: [225.27 649.93 124.67], log(fx)=-8.625, p0: [150, 800, 150], success?: True
truth: [125. 650. 125.], found: [125.64 650.13 123.89], log(fx)=-7.854, p0: [150, 650, 100], success?: True
truth: [125. 650. 375.], found: [125.42 649.9  374.53], log(fx)=-8.178, p0: [100, 750, 400], success?: True
truth: [275. 600. 175.], found: [274.31 600.2  174.36], log(fx)=-7.626, p0: [300, 600, 200], success?: True
truth: [325. 620.  50.], found: [325.07 619.78  50.08], log(fx)=-8.822, p0: [450, 600, 50], success?: True
truth: [275. 675. 200.], found: [274.68 674.95 200.  ], log(fx)=-9.001, p0: [300, 650, 250], success?: True
truth: [400. 680. 125.], found: [399.94 680.14 124.02], log(fx)=-8.395, p0: [400, 650, 150], success?: True
truth: [250. 600. 250.], found: [250. 600. 250.], log(fx)=-inf, p0: [250, 600, 250], success?: True
truth: [300. 620. 200.], found: [299.56 620.48 199.  ], log(fx)=-7.809, p0: [250, 650, 250], success?: True
truth: [200. 620. 300.], found: [200.38 619.68 300.39], log(fx)=-8.358, p0: [200, 650, 250], success?: True
truth: [ 47. 640.  74.], found: [ 47.11 640.08  73.52], log(fx)=-8.649, p0: [50, 500, 150], success?: True
truth: [ 90. 750. 110.], found: [ 89.54 750.23 109.36], log(fx)=-7.543, p0: [100, 750, 100], success?: True
truth: [450. 700. 400.], found: [450. 700. 400.], log(fx)=-inf, p0: [450, 700, 400], success?: True
truth: [176. 581. 156.], found: [177.02 580.89 156.05], log(fx)=-7.537, p0: [150, 600, 250], success?: True
truth: [ 93. 747. 301.], found: [ 93.19 746.86 300.62], log(fx)=-9.893, p0: [100, 750, 300], success?: True
truth: [191. 427. 300.], found: [192.32 425.63 302.95], log(fx)=-5.515, p0: [150, 550, 250], success?: True
truth: [289. 436.  72.], found: [289.39 435.83  72.02], log(fx)=-8.733, p0: [250, 450, 100], success?: True
truth: [144. 494. 359.], found: [143.96 493.77 359.24], log(fx)=-8.286, p0: [150, 500, 350], success?: True
truth: [ 67. 541. 237.], found: [ 66.14 541.92 236.36], log(fx)=-7.9, p0: [50, 800, 350], success?: True
truth: [357. 745. 361.], found: [353.66 746.32 359.82], log(fx)=-5.787, p0: [350, 750, 450], success?: True
truth: [140. 704. 226.], found: [139.95 703.86 225.9 ], log(fx)=-9.239, p0: [150, 700, 200], success?: True
truth: [136. 648. 106.], found: [135.8  647.94 106.41], log(fx)=-8.77, p0: [150, 650, 100], success?: True
truth: [ 85. 575. 165.], found: [ 85.04 575.19 165.36], log(fx)=-7.822, p0: [100, 650, 150], success?: True
truth: [159. 619. 436.], found: [158.78 618.78 436.15], log(fx)=-8.129, p0: [150, 650, 450], success?: True
truth: [326. 657. 340.], found: [325.57 656.85 340.73], log(fx)=-8.941, p0: [450, 550, 300], success?: True
truth: [425. 418.  50.], found: [425.43 417.71  50.84], log(fx)=-7.86, p0: [450, 550, 50], success?: True
truth: [188. 671. 175.], found: [188.18 671.02 174.69], log(fx)=-9.893, p0: [200, 700, 200], success?: True
truth: [363. 642.  94.], found: [362.75 642.33  93.67], log(fx)=-9.037, p0: [400, 550, 100], success?: True
truth: [404. 536. 270.], found: [404.17 536.19 269.71], log(fx)=-8.559, p0: [400, 550, 300], success?: True
truth: [376. 741. 300.], found: [376.83 740.63 298.84], log(fx)=-6.94, p0: [350, 700, 400], success?: True
truth: [109. 684. 178.], found: [109.05 684.27 177.23], log(fx)=-7.852, p0: [100, 700, 200], success?: True
